userId,latency_variance_score,unique_comment_ratio,max_duplicate_count,total_duplicates,emoji_percentage,caps_ratio,circular_mean_hour,mean_hour_deviance,std_hour_deviance,unique_channel_count,comment_velocity,account_age,reply_count,toplevel_count,reply_ratio
UC-3WPD3KsPk4af1YdhN0ayA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1918148615911995,-0.5722422125708329,0.0,0.0,0.0
UC-3WZ_SLdjSdLbrq-jrnoNQ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.13293155270636528,-0.0701143429525797,0.0,0.0,0.0
UC-3YwwXS_I7Q7b54OIbCOmQ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.24079071562996393,0.1993332710435027,0.0,0.0,0.0
UC-3_DN3qifaz-nDzezacMNg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0254584184680358,-1.6210214000064787,0.0,0.0,0.0
UC-3bxA69Wm7WRT2-PWha0VQ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27701758783126645,0.3140332031175683,0.0,0.0,0.0
UC-3gb8kTpiLsPn33nHT6F6w,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.19629626227165906,0.07733376585248583,0.0,0.0,0.0
UC-3j1ABrHV4yvtxdKjWJ-0w,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.522213327957041,-2.4562988603585367,0.0,0.0,0.0
UC-3kMx8rKl_0Z5NpDIw8rTQ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17653092962020633,-0.5543599642602756,0.0,0.0,0.0
UC-3kkk3jlqPWEapYwTzFhXw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02270445251142283,0.22198003226112795,0.0,0.0,0.0
UC-3nNH_vxkab52NwMZdW7Dg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27138933517527086,-0.6595397977887761,0.0,0.0,0.0
UC-3neotbxPYM9pykuJkKbbA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.21633202842117083,0.13004517618550113,0.0,0.0,0.0
UC-3rwZnz8xmpX4wByAA5CQw,0.02166874991242663,-0.16666666666666663,1.0,2.0,0.06976744186046512,0.015002727768685215,-11.393869354949,-0.4816870508583482,-1.2635234979720837,0.0,4.036010118863952,-0.6260208475602864,0.0,4.0,0.0
UC-3u4Zjng8jop02zWBBhQ0Q,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10811559349049074,-0.12135531594463916,0.0,0.0,0.0
UC-3uaQOTToJA0AVWe4ka4uQ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18667985327562542,0.05318496340899362,0.0,0.0,0.0
UC-3vP3XFcD_hM8WWgi6quCQ,-0.0024386538781471295,0.0,0.0,0.0,0.0,0.0,-7.173930655492586,-0.8717177011301409,-0.4834621974284987,0.0,3.3815047373926457,-0.8320774332308841,0.0,2.0,0.0
UC-4-j8jAJPec9pSjF3Bjzbg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3729710753228264,-0.47345880431708715,2.0,-1.0,2.0
UC-40mgOLEX8Xetcj1ejpJ4w,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3118282884928415,0.441702597716362,0.0,0.0,0.0
UC-42slgMck-lCzzEgtVKP7Q,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2033444110418425,0.0954941546601061,0.0,0.0,0.0
UC-459le1U402gqCKHDtjDGg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2755268168152357,0.3089840903405253,0.0,0.0,0.0
UC-45sn3B6qXnB1Rx43wwfPg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.21939706355412683,0.13841504301500102,0.0,0.0,0.0
UC-47Mxptk_IyE7KL9S3FkYw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09973391907778559,0.11257758057413926,1.0,-1.0,1.0
UC-4ChPUh8uqgeP9CK2zFIOg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.32905543742399385,0.5130495202599807,0.0,0.0,0.0
UC-4FJYALXy614dJ6P6TRkeQ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15289130970148895,-0.026452968345144618,0.0,0.0,0.0
